name,ra,dec,l,b,alphaKW,alphaKW0,AKHerschel,J_flux,J_flux_err,Jmag,H_flux,H_flux_err,Hmag,Ks_flux,Ks_flux_err,Ksmag,W1_flux,W1_flux_err,W1mag,W2_flux,W2_flux_err,W2mag,W3_flux,W3_flux_err,W3mag,W4_flux,W4_flux_err,W4mag,J_flag,H_flag,Ks_flag,W1_flag,W2_flag,W3_flag,W4_flag
star_24,83.11192916666666,-5.268489722222222,208.55749604860347,-19.95642718980859,-0.4,-0.42,0.112,1.8522018645684546,0.18522018645684546,14.837,2.2693420297827536,0.22693420297827538,14.136,1.9894382108906739,0.19894382108906739,13.813,1.8703237049731982,0.18703237049731983,13.047,1.646637037484172,0.1646637037484172,12.546,2.8073910586824944,0.28073910586824946,10.131,8.293963060600298,0.8293963060600298,7.509,1,1,1,1,1,1,1
star_25,83.11792499999999,-5.5724675,208.848819996801,-20.088782531358177,0.0,0.0,5.388,1594000.0,159400.0,0.0,1024000.0,102400.0,0.0,666700.0,66670.0,0.0,0.343492119865662,0.0343492119865662,14.887,0.3625750200719018,0.03625750200719018,14.189,3.755803932944661,0.37558039329446613,9.815,4.553675685721164,0.45536756857211647,8.16,1,1,1,1,1,1,1
star_26,83.15255833333333,-4.693405,208.03279441768578,-19.65866354961026,-0.74,-0.74,0.332,9.06334093369974,0.9063340933699741,13.113,10.663504502051165,1.0663504502051164,12.456,11.177133935914679,1.1177133935914678,11.939,6.431566704614701,0.6431566704614702,11.706,5.885696717373704,0.5885696717373704,11.163,7.963480342925672,0.7963480342925673,8.999,18.414591824644685,1.8414591824644686,6.643,1,1,1,1,1,1,1
star_27,83.15333333333332,-5.166083055555556,208.48035060722881,-19.873202534909304,0.0,0.0,0.113,1.3504804981401106,0.13504804981401106,15.18,3.6567894610774565,0.36567894610774565,13.618,3.7560421317232056,0.37560421317232057,13.123,3.0473109922648627,0.3047310992264863,12.517,2.6952427077490317,0.2695242707749032,12.011,0.6778021036340954,0.06778021036340955,11.674,2.7312540404572427,0.2731254040457243,8.715,1,1,1,1,1,1,1
star_28,83.15619583333331,-5.211461944444444,208.52472148946987,-19.891266407657305,-0.71,-0.73,0.118,16.907847305186916,1.6907847305186916,12.436,21.572474119571602,2.1572474119571603,11.691,19.37003721545907,1.9370037215459073,11.342,18.429636874828375,1.8429636874828377,10.563,19.328487896158894,1.9328487896158895,9.872,26.321031952041338,2.632103195204134,7.701,36.573127228137416,3.657312722813742,5.898,1,1,1,1,1,1,1
star_29,83.17352499999998,-5.603190277777777,208.90462790573187,-20.053310955600065,1.84,1.12,3.814,1594000.0,159400.0,0.0,0.0282292900893706,0.00282292900893706,18.899,1.5846394190928033,0.15846394190928034,14.06,20.697446956605713,2.0697446956605714,10.437,116.14429434258857,11.614429434258858,7.925,213.94537987549495,21.394537987549498,5.426,3235.654164031673,323.5654164031673,1.031,1,1,1,1,1,1,1
star_30,83.17354999999999,-5.596147222222222,208.89795175306693,-20.0501056571666,1.69,0.98,4.837,0.10386956601329835,0.010386956601329836,17.965,3.1009870789281537,0.3100987078928154,13.797,18.549425142720043,1.8549425142720044,11.389,351.49307916219294,35.14930791621929,7.362,2843.137605463965,284.3137605463965,4.453,8369.565497941532,836.9565497941533,1.445,19282.444800290155,1928.2444800290157,-0.907,1,1,1,1,1,1,1
star_31,83.17698333333331,-5.598836944444444,208.90214982393687,-20.048273236695632,0.0,0.0,7.008,1594000.0,159400.0,0.0,1024000.0,102400.0,0.0,0.667929238608208,0.0667929238608208,14.998,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_32,83.17839166666666,-5.5991511111111105,208.90312246669762,-20.047164922026433,0.0,0.0,6.329,1594000.0,159400.0,0.0,0.16214365428885227,0.016214365428885227,17.001,1.2053979682917426,0.12053979682917426,14.357,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_33,83.18046666666665,-5.597740555555555,208.90277655537565,-20.044685261026107,0.0,0.0,6.329,1594000.0,159400.0,0.0,0.18945233252063792,0.018945233252063792,16.832,1.4532169513079751,0.1453216951307975,14.154,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_34,83.18092499999999,-5.599223888888889,208.90440452369936,-20.04494874692174,0.37,0.28,6.329,27.982616276162453,2.7982616276162453,11.889,44.616958003515784,4.4616958003515785,10.902,45.575396445096395,4.55753964450964,10.413,41.2588176478168,4.12588176478168,9.688,60.61748025708259,6.061748025708259,8.631,128.204394649397,12.8204394649397,5.982,1254.1864279306344,125.41864279306344,2.06,1,1,1,1,1,1,1
star_35,83.18185416666665,-5.5983225,208.90399347522683,-20.04371646328852,0.0,0.0,5.313,1594000.0,159400.0,0.0,0.8133921123576633,0.08133921123576633,15.25,2.7010365132685004,0.27010365132685005,13.481,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_36,83.18337916666665,-6.496002222222223,209.7593302629694,-20.446005324513333,0.0,0.0,0.028,2.295558247653861,0.22955582476538614,14.604,2.683489848046943,0.2683489848046943,13.954,2.2883921806358036,0.22883921806358037,13.661,1.8531764741776424,0.18531764741776424,13.057,1.657287595242426,0.1657287595242426,12.539,1.104340278365889,0.11043402783658891,11.144,3.2237555051588482,0.32237555051588485,8.535,1,1,1,1,1,1,1
